transaction_id,category,subcategory,region,season,unit_cost,unit_price,quantity_sold,inventory_days,revenue,cost,profit,profit_margin_pct
TXN100000,Apparel,Winter Wear,East,Monsoon,302.46,379.83,5,38.0,1899.15,1512.3,386.85,20.37
TXN100001,Electronics,Cameras,Central,Monsoon,1854.38,1966.69,5,26.0,9833.45,9271.9,561.55,5.71
TXN100002,Apparel,Footwear,North,Winter,307.7,372.01,8,35.0,2976.08,2461.6,514.48,17.29
TXN100003,Beauty & Personal Care,Fragrances,South,Monsoon,162.74,207.85,9,41.0,1870.65,1464.66,405.99,21.7
TXN100004,Apparel,Winter Wear,South,Festive,307.45,381.77,4,,1527.08,1229.8,297.28,19.47
TXN100005,Grocery,Dairy,North,Monsoon,463.89,436.74,15,18.0,6551.1,6958.35,-407.25,-6.22
TXN100006,Grocery,Staples,East,Summer,197.63,193.56,13,17.0,2516.28,2569.19,-52.91,-2.1
TXN100007,Electronics,Cameras,Central,Spring,2692.5,2648.0,9,50.0,23832.0,24232.5,-400.5,-1.68
TXN100008,Apparel,Footwear,West,Summer,442.81,546.93,5,40.0,2734.65,2214.05,520.6,19.04
TXN100009,Electronics,Laptops,North,Summer,2092.69,2263.36,5,35.0,11316.8,10463.45,853.35,7.54
TXN100010,Grocery,Dairy,North,Winter,498.89,494.35,18,19.0,8898.3,8980.02,-81.72,-0.92
TXN100011,Home & Kitchen,Appliances,East,Spring,128.66,161.39,10,68.0,1613.9,1286.6,327.3,20.28
TXN100012,Apparel,Footwear,North,Monsoon,199.5,267.18,8,42.0,2137.44,1596.0,541.44,25.33
TXN100013,Electronics,Cameras,Central,Festive,1917.65,1770.2,8,57.0,14161.6,15341.2,-1179.6,-8.33
TXN100014,Electronics,Smartphones,South,Monsoon,1973.29,2051.39,8,57.0,16411.12,15786.32,624.8,3.81
TXN100015,Beauty & Personal Care,Grooming,East,Festive,319.26,410.46,4,43.0,1641.84,1277.04,364.8,22.22
TXN100016,Beauty & Personal Care,Grooming,Central,Festive,376.38,484.48,5,42.0,2422.4,1881.9,540.5,22.31
TXN100017,Apparel,Women's Wear,East,Summer,57.62,72.46,13,119.0,941.98,749.06,192.92,20.48
TXN100018,Grocery,Staples,East,Spring,194.04,201.81,16,12.0,3228.96,3104.64,124.32,3.85
TXN100019,Electronics,Cameras,South,Festive,1112.56,1124.45,4,59.0,4497.8,4450.24,47.56,1.06
